Name,Class,Intensity,Symmetry
Row 1025,5,0.153773,-3.465937
Row 1033,5,0.283209,-4.741562
Row 1034,5,0.274602,-4.549
Row 1038,5,0.176797,-3.548313
Row 1041,5,0.404049,-6.181625
Row 1044,1,0.143789,-0.781375
Row 1046,5,0.329318,-4.061125
Row 1048,5,0.376518,-5.438125
Row 1051,5,0.323727,-5.459125
Row 1056,5,0.188057,-3.826875
Row 1058,5,0.162402,-3.55725
Row 1061,5,0.284465,-4.473875
Row 1066,5,0.247766,-4.804437
Row 1069,1,0.145262,-0.472438
Row 1078,1,0.204283,-0.701812
Row 1079,1,0.190617,-0.943625
Row 1083,1,0.152225,-0.247625
Row 1091,1,0.125881,-2.06625
Row 1121,1,0.22935,-0.9245
Row 1128,5,0.319479,-5.076875
Row 1134,5,0.206846,-3.79675
Row 1136,5,0.192498,-4.48725
Row 1149,1,0.113002,-0.950937
Row 1150,1,0.139662,-0.581812
Row 1151,1,0.10898,-0.822438
Row 1154,1,0.221205,-1.8915
Row 1159,1,0.123268,-0.807125
Row 1174,1,0.103172,-0.619938
Row 1178,1,0.183629,-0.479125
Row 1179,1,0.237289,-0.590437
Row 1182,5,0.337996,-6.131687
Row 1184,1,0.150348,-0.27675
Row 1186,5,0.29924,-5.335813
Row 1187,5,0.268062,-4.914813
Row 1189,1,0.169936,-0.567625
Row 1197,5,0.326322,-5.081313
Row 1201,1,0.127697,-0.621875
Row 1204,1,0.17185,-0.759062
Row 1205,5,0.351197,-5.723125
Row 1215,1,0.1284,-0.425687
Row 1220,1,0.130551,-0.396813
Row 1230,1,0.150117,-0.363812
Row 1236,1,0.08101,-0.554688
Row 1239,5,0.40373,-4.73325
Row 1248,1,0.159002,-0.72975
Row 1253,1,0.127379,-0.464
Row 1256,1,0.122125,-0.342562
Row 1261,5,0.24449,-3.113187
Row 1268,1,0.116133,-0.807688
Row 1270,1,0.093076,-0.457813
Row 1302,5,0.385014,-4.70025
Row 1304,5,0.356281,-4.486562
Row 1309,1,0.135133,-2.307812
Row 1313,5,0.286656,-4.7815
Row 1314,5,0.216125,-3.7895
Row 1315,1,0.104547,-0.580688
Row 1323,5,0.31734,-5.23425
Row 1332,1,0.29474,-1.636625
Row 1335,1,0.263104,-2.9735
Row 1337,1,0.162395,-0.967375
Row 1350,1,0.112039,-0.369437
Row 1357,5,0.345398,-5.358437
Row 1364,1,0.135678,-1.430187
Row 1365,1,0.118729,-0.394937
Row 1374,5,0.322826,-5.8495
Row 1377,5,0.201949,-3.388438
Row 1378,5,0.27899,-4.833875
Row 1385,5,0.235109,-4.244813
Row 1389,1,0.099912,-0.653438
Row 1390,5,0.420488,-6.514687
Row 1392,5,0.606639,-5.601438
Row 1395,5,0.249025,-4.507688
Row 1400,5,0.373982,-6.175688
Row 1408,5,0.450908,-5.183562
Row 1410,1,0.155303,-0.94175
Row 1412,1,0.192238,-0.544687
Row 1419,1,0.197045,-1.194625
Row 1440,1,0.15691,-0.681875
Row 1442,1,0.141225,-0.594562
Row 1445,5,0.326959,-6.1215
Row 1446,5,0.329354,-6.081812
Row 1447,1,0.170391,-1.184875
Row 1450,5,0.284621,-5.751938
Row 1458,5,0.29659,-5.351187
Row 1459,5,0.390756,-5.826937
Row 1466,1,0.106133,-0.622313
Row 1471,1,0.16777,-0.681438
Row 1472,1,0.186986,-0.376812
Row 1476,1,0.127727,-0.252563
Row 1478,1,0.159666,-0.448437
Row 1481,1,0.11,-1.546625
Row 1486,1,0.089846,-0.762938
Row 1487,1,0.101922,-0.417
Row 1488,1,0.096195,-0.431312
Row 1492,1,0.137563,-0.546375
Row 1493,5,0.347586,-5.174938
Row 1506,1,0.182887,-0.9035
Row 1508,1,0.129428,-0.428687
Row 1513,1,0.111109,-1.581562
Row 1518,5,0.455209,-5.384875
Row 1520,1,0.15492,-0.356938
Row 1525,1,0.111367,-0.325875
Row 1530,1,0.091736,-0.448062
Row 1535,1,0.101639,-0.292938
Row 1536,1,0.133498,-0.673
Row 1538,5,0.239051,-5.328688
Row 1540,1,0.17866,-0.735688
Row 1541,1,0.151291,-0.778125
Row 1542,1,0.153396,-0.291063
Row 1547,1,0.118986,-0.47525
Row 1548,1,0.106654,-0.277625
Row 1563,1,0.102631,-0.430188
Row 1568,1,0.111725,-0.333937
Row 1583,1,0.121141,-0.293625
Row 1588,5,0.166656,-3.534187
Row 1598,1,0.133574,-0.441937
Row 1601,5,0.428754,-5.79575
Row 1602,5,0.547627,-6.20125
Row 1608,5,0.362586,-5.279187
Row 1609,5,0.401752,-5.997813
Row 1610,5,0.306221,-5.36575
Row 1611,1,0.216924,-0.811438
Row 1613,1,0.15973,-0.389437
Row 1618,1,0.083691,-0.464187
Row 1626,1,0.157701,-0.417125
Row 1631,1,0.264453,-3.376438
Row 1635,1,0.110482,-0.593688
Row 1636,1,0.118449,-0.331313
Row 1638,1,0.139523,-0.481
Row 1639,1,0.173672,-0.924625
Row 1643,5,0.433697,-5.180313
Row 1645,1,0.176289,-0.604563
Row 1651,1,0.128021,-0.473875
Row 1652,5,0.241414,-4.795
Row 1656,1,0.173826,-0.189062
Row 1657,5,0.463721,-6.532063
Row 1660,1,0.177277,-0.720313
Row 1661,1,0.15374,-0.769563
Row 1662,5,0.216195,-5.091312
Row 1664,5,0.192223,-4.089875
Row 1665,5,0.226445,-3.616
Row 1668,1,0.193453,-0.729563
Row 1670,5,0.228623,-4.702562
Row 1682,5,0.153934,-3.642562
Row 1683,1,0.092609,-0.463938
Row 1687,5,0.315418,-4.066125
Row 1689,5,0.267338,-4.610563
Row 1695,5,0.333316,-4.292562
Row 1711,5,0.338588,-4.88225
Row 1712,5,0.319125,-5.105188
Row 1716,1,0.140947,-0.245438
Row 1721,1,0.253113,-0.758188
Row 1722,5,0.349012,-6.132625
Row 1727,5,0.227883,-4.849125
Row 1733,1,0.152254,-0.37725
Row 1735,1,0.187611,-1.815687
Row 1738,1,0.102646,-0.6325
Row 1740,1,0.122494,-0.44425
Row 1742,1,0.109271,-0.388688
Row 1743,1,0.100314,-0.450937
Row 1745,1,0.118727,-0.37475
Row 1748,1,0.124027,-0.495937
Row 1751,5,0.253463,-4.055813
Row 1752,5,0.206867,-4.678438
Row 1753,1,0.149512,-0.521813
Row 1755,1,0.143121,-0.369188
Row 1758,1,0.171865,-0.356
Row 1760,1,0.13358,-0.706438
Row 1762,1,0.128186,-0.558562
Row 1763,1,0.180045,-0.816937
Row 1765,1,0.263883,-1.450937
Row 1766,5,0.342576,-4.068062
Row 1769,5,0.239514,-4.894188
Row 1780,1,0.155346,-0.48825
Row 1782,1,0.147943,-0.558063
Row 1787,5,0.276613,-5.585125
Row 1801,5,0.295018,-4.59875
Row 1802,1,0.084725,-0.516375
Row 1809,1,0.157367,-0.415625
Row 1814,1,0.218113,-3.4345
Row 1815,1,0.256926,-4.121313
Row 1816,1,0.270752,-4.841875
Row 1817,5,0.285416,-4.909187
Row 1819,1,0.126949,-0.722125
Row 1821,1,0.113953,-0.530062
Row 1824,1,0.136141,-0.309937
Row 1825,5,0.272902,-4.855313
Row 1829,1,0.120996,-0.648312
Row 1834,1,0.139674,-0.503687
Row 1835,1,0.184906,-1.204813
Row 1839,1,0.201857,-0.586875
Row 1840,1,0.226111,-0.835562
Row 1841,1,0.198049,-0.419063
Row 1847,5,0.243543,-3.948125
Row 1862,1,0.176082,-0.484438
Row 1870,5,0.351324,-7.7
Row 1871,5,0.411016,-7.562
Row 1873,1,0.22902,-0.504437
Row 1875,1,0.232234,-0.955063
Row 1880,5,0.288709,-4.184563
Row 1881,5,0.294021,-4.512625
Row 1885,1,0.217121,-3.179187
Row 1887,1,0.175184,-0.925875
Row 1890,5,0.415215,-5.133063
Row 1892,1,0.162787,-0.776687
Row 1895,1,0.216299,-0.4035
Row 1896,1,0.210586,-0.497437
Row 1900,5,0.19259,-3.436812
Row 1911,1,0.167996,-0.430188
Row 1917,5,0.39099,-5.22925
Row 1922,1,0.114582,-0.51125
Row 1927,1,0.15433,-0.531188
Row 1928,5,0.193662,-3.996875
Row 1929,5,0.253225,-4.572687
Row 1930,1,0.119928,-0.21175
Row 1933,5,0.353516,-5.470875
Row 1934,5,0.44993,-5.614687
Row 1935,1,0.181166,-0.950375
Row 1938,5,0.37332,-6.305187
Row 1939,5,0.344652,-5.3205
Row 1940,1,0.166219,-0.349813
Row 1943,5,0.261027,-4.528
Row 1944,5,0.284953,-4.282
Row 1945,1,0.13202,-1.067063
Row 1949,1,0.09626,-0.476313
Row 1952,5,0.154426,-2.733
Row 1960,1,0.139912,-0.39925
Row 1964,5,0.191479,-3.40425
Row 1966,1,0.114893,-1.734125
Row 1968,5,0.421271,-5.11925
Row 1969,5,0.389982,-6.255625
Row 1973,5,0.184225,-3.601313
Row 1974,5,0.225207,-4.501688
Row 1978,5,0.229166,-3.94025
Row 1979,5,0.223428,-4.2915
Row 1983,5,0.362895,-4.35425
Row 1984,5,0.324154,-5.089062
Row 1985,1,0.192791,-0.648125
Row 1988,5,0.36032,-5.7375
Row 1989,5,0.445924,-5.343562
Row 1990,1,0.177002,-0.955937
Row 1993,5,0.38498,-5.086
Row 1999,5,0.339586,-4.722875
Row 2007,1,0.188977,-0.781312
